anime_id, name                                                    , genre                                                                     , type , episodes, rating, members, rating_category
    9919, Ao no Exorcist                                          , "Action, Demons, Fantasy, Shounen, Supernatural"                          , TV   , 25      ,   7.92,  583823, Average
   28999, Charlotte                                               , "Drama, School, Super Power"                                              , TV   , 13      ,   7.91,  310137, Average
   18897, Nisekoi                                                 , "Comedy, Harem, Romance, School, Shounen"                                 , TV   , 20      ,   7.91,  347599, Average
   28121, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka, "Action, Adventure, Comedy, Fantasy, Romance"                             , TV   , 13      ,   7.88,  336349, Average
   18153, Kyoukai no Kanata                                       , "Fantasy, Slice of Life, Supernatural"                                    , TV   , 12      ,   7.88,  359011, Average
   11111, Another                                                 , "Horror, Mystery, School, Supernatural, Thriller"                         , TV   , 12      ,   7.88,  534657, Average
    1887, Lucky☆Star                                              , "Comedy, Parody, School, Slice of Life"                                   , TV   , 24      ,   7.87,  305837, Average
    5680, K-On!                                                   , "Comedy, Music, School, Slice of Life"                                    , TV   , 13      ,   7.87,  386048, Average
     226, Elfen Lied                                              , "Action, Drama, Horror, Psychological, Romance, Seinen, Supernatural"     , TV   , 13      ,   7.85,  623511, Average
   22199, Akame ga Kill!                                          , "Action, Adventure, Fantasy"                                              , TV   , 24      ,   7.84,  492133, Average
   11757, Sword Art Online                                        , "Action, Adventure, Fantasy, Game, Romance"                               , TV   , 25      ,   7.83,  893100, Average
      20, Naruto                                                  , "Action, Comedy, Martial Arts, Shounen, Super Power"                      , TV   , 220     ,   7.81,  683297, Average
   10793, Guilty Crown                                            , "Action, Drama, Sci-Fi, Super Power"                                      , TV   , 22      ,   7.81,  460959, Average
   14227, Tonari no Kaibutsu-kun                                  , "Comedy, Romance, School, Shoujo, Slice of Life"                          , TV   , 13      ,   7.77,  349836, Average
   11617, High School DxD                                         , "Comedy, Demons, Ecchi, Harem, Romance, School"                           , TV   , 12      ,   7.7 ,  398660, Average
    4654, Toaru Majutsu no Index                                  , "Action, Magic, Sci-Fi, Super Power"                                      , TV   , 24      ,   7.69,  313114, Average
   14345, Btooom!                                                 , "Action, Psychological, Sci-Fi, Seinen"                                   , TV   , 12      ,   7.68,  329561, Average
   26243, Owari no Seraph                                         , "Action, Drama, Shounen, Supernatural, Vampire"                           , TV   , 12      ,   7.65,  315630, Average
     270, Hellsing                                                , "Action, Horror, Seinen, Supernatural, Vampire"                           , TV   , 13      ,   7.64,  308995, Average
   11759, Accel World                                             , "Action, Game, Romance, School, Sci-Fi"                                   , TV   , 24      ,   7.62,  324284, Average
    1195, Zero no Tsukaima                                        , "Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School", TV   , 13      ,   7.62,  346828, Average
     356, Fate/stay night                                         , "Action, Fantasy, Magic, Romance, Supernatural"                           , TV   , 24      ,   7.58,  374880, Average
   10719, Boku wa Tomodachi ga Sukunai                            , "Comedy, Ecchi, Harem, Romance, School, Seinen, Slice of Life"            , TV   , 12      ,   7.57,  325664, Average
   27899, Tokyo Ghoul √A                                          , "Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural"     , TV   , 12      ,   7.52,  408357, Average
    8769, Ore no Imouto ga Konnani Kawaii Wake ga Nai             , "Comedy, Seinen, Slice of Life"                                           , TV   , 12      ,   7.49,  321477, Average
    6880, Deadman Wonderland                                      , "Action, Horror, Sci-Fi"                                                  , TV   , 12      ,   7.48,  453454, Average
    8074, Highschool of the Dead                                  , "Action, Ecchi, Horror, Supernatural"                                     , TV   , 12      ,   7.46,  535892, Average
   20787, Black Bullet                                            , "Action, Mystery, Sci-Fi, Seinen"                                         , TV   , 13      ,   7.44,  320267, Average
   21881, Sword Art Online II                                     , "Action, Adventure, Fantasy, Game, Romance"                               , TV   , 24      ,   7.35,  537892, Average
